date,rank,name,code,price,quant_score,score_max,badge,vol,value_trap,t_roe,f_roe,roic,t_per,t_eps,t_pbr,ev_ebitda,dps,sh_return,return_total,t_pegy,t_fair,graham_target,f_per,f_eps,growth,f_target
2026-08-09,118,DB하이텍,000990,84100.0,68,80,🟢 강력 저평가,"⚡ 변동성 확대 (7.59%, 벌점 1.246x)",false,12.52,15.86,,12.47,6746,1.56,6.68,810,0.96,총 352억원 (배당 기준),0.49,168650,90459,10.0,8413,24.7,178835
2026-08-09,119,한화엔진,082740,42500.0,11,50,🔴 실적 역성장/적자 (위험),"⚡ 변동성 확대 (6.76%, 벌점 1.217x)",false,36.6,30.6,,17.12,2483,5.81,21.57,0,0.0,무배당 (배당 공시 확인됨),,,20216,18.0,2412,-2.9,
2026-08-09,120,넷마블,251270,40900.0,59,80,🟢 강력 저평가,"⚡ 변동성 확대 (3.0%, 벌점 1.085x)",true,4.15,8.71,,9.73,4204,0.58,8.44,876,2.14,총 717억원 (배당 기준),0.22,102250,81671,7.0,5935,41.2,102250
2026-08-09,121,현대해상,001450,39300.0,34,35,🔵 Trailing만 검증됨 (Forward 데이터 없음),"⚡ 변동성 확대 (3.32%, 벌점 1.096x)",false,20.6,,,3.34,11772,0.55,3.50,2063,5.25,"총 1,758억원 (배당 기준)",,,137572,,,,
2026-08-09,122,한국가스공사,036460,35750.0,44,80,🟢 강력 저평가,"⚡ 변동성 확대 (2.15%, 벌점 1.055x)",true,1.23,8.86,,10.51,3403,0.27,9.55,1154,3.23,"총 1,065억원 (배당 기준)",0.05,85075,100688,3.0,10764,216.3,89375
2026-08-09,123,금호석유화학,011780,129600.0,55,80,🟢 강력 저평가,"⚡ 변동성 확대 (3.51%, 벌점 1.103x)",true,4.74,6.61,,14.45,8970,0.52,5.66,1700,1.31,총 427억원 (배당 기준),0.21,224250,224279,9.0,15121,68.6,324000
2026-08-09,124,팬오션,028670,6040.0,61,80,🟢 강력 저평가,"⚡ 변동성 확대 (5.13%, 벌점 1.16x)",true,5.3,7.89,,9.97,606,0.53,6.79,150,2.48,총 801억원 (배당 기준),0.2,15100,12465,7.0,888,46.5,15100
2026-08-09,125,포스코DX,022100,20750.0,18,35,🔵 Trailing만 검증됨 (Forward 데이터 없음),"⚡ 변동성 확대 (5.12%, 벌점 1.159x)",false,9.53,,,91.41,227,5.65,39.04,125,0.6,총 190억원 (배당 기준),,,4331,,,,
2026-08-09,126,강원랜드,035250,14690.0,76,85,🟢 강력 저평가,🟢 정상 (1.16%),false,8.11,7.77,,11.1,1324,0.77,-0.03,950,6.47,"총 2,032억원 (배당 기준)",0.66,22335,23840,10.0,1462,10.4,23793
2026-08-09,127,서울보증보험,031210,44400.0,30,35,🔵 Trailing만 검증됨 (Forward 데이터 없음),🟢 정상 (1.94%),true,5.18,,,10.11,4390,0.62,6.67,2865,6.45,"총 2,000억원 (배당 기준)",,,84104,,,,
