date,code,name,rsi,rsi_signal,macd,macd_signal_line,macd_histogram,macd_cross,bb_upper,bb_lower,bb_mid,bb_percent_b,bb_position,verdict_score,verdict_label,bars_used,warmup_insufficient,unavailable_reasons
2026-08-26,030190,NICE평가정보,60.25,neutral,326.06,302.31,23.74,,16178.95,13850.05,15014.5,0.7729,inside,0,중립,268,false,
2026-08-26,009240,한샘,56.1,neutral,694.82,942.75,-247.93,,41888.86,36856.14,39372.5,0.6147,inside,0,중립,268,false,
2026-08-26,005300,롯데칠성,46.8,neutral,-907.13,-700.79,-206.34,,104548.08,95581.92,100065.0,0.3255,inside,0,중립,268,false,
2026-08-26,195870,해성디에스,47.87,neutral,-674.18,-1073.27,399.09,,63550.91,41589.09,52570.0,0.5651,inside,0,중립,268,false,
2026-08-26,006120,SK디스커버리,48.76,neutral,99.37,362.42,-263.04,,55800.38,47829.62,51815.0,0.4354,inside,0,중립,268,false,
2026-08-26,006110,삼아알미늄,62.46,neutral,4799.35,3508.0,1291.35,,68656.37,25873.63,47265.0,0.7696,inside,0,중립,268,false,
2026-08-26,005090,SGC에너지,65.93,neutral,5061.76,4444.48,617.28,,73035.28,36694.72,54865.0,0.7624,inside,0,중립,268,false,
2026-08-26,003470,유안타증권,57.5,neutral,37.26,12.44,24.81,,4987.57,4054.43,4521.0,0.7829,inside,0,중립,268,false,
2026-08-26,034230,파라다이스,45.66,neutral,-445.96,-571.29,125.33,,10162.33,9248.67,9705.5,0.7019,inside,0,중립,268,false,
2026-08-26,079160,CJ CGV,55.33,neutral,119.71,159.6,-39.89,,5722.64,4853.36,5288.0,0.5253,inside,0,중립,268,false,
2026-08-26,071055,한국금융지주우,48.38,neutral,-264.52,-280.82,16.3,,160366.79,138323.21,149345.0,0.498,inside,0,중립,268,false,
2026-08-26,285130,SK케미칼,72.46,overbought,2598.13,1877.34,720.79,,53758.82,36061.18,44910.0,0.9006,inside,-1,중립,268,false,
2026-08-26,071320,지역난방공사,62.83,neutral,2061.98,1733.76,328.22,,79978.93,60391.07,70185.0,0.7254,inside,0,중립,268,false,
2026-08-26,000370,한화손해보험,74.17,overbought,430.63,285.76,144.87,,7969.59,4907.41,6438.5,0.912,inside,-1,중립,268,false,
2026-08-26,005180,빙그레,76.61,overbought,6097.14,3896.6,2200.54,,93753.7,57036.3,75395.0,1.0149,above_upper,-2,매도 우위,268,false,
2026-08-26,100090,SK오션플랜트,46.96,neutral,-279.6,-302.09,22.49,,14902.6,11843.4,13373.0,0.5219,inside,0,중립,268,false,
2026-08-26,004490,세방전지,64.19,neutral,1141.77,705.79,435.98,,60510.29,48439.71,54475.0,0.9412,inside,0,중립,268,false,
2026-08-26,137310,에스디바이오센서,49.8,neutral,-53.37,-50.8,-2.57,,6845.24,5849.76,6347.5,0.4824,inside,0,중립,268,false,
2026-08-26,499790,GS피앤엘,53.47,neutral,68.83,219.85,-151.02,,47010.46,34329.54,40670.0,0.5852,inside,0,중립,268,false,
2026-08-26,003850,보령,57.77,neutral,179.62,172.1,7.53,,9749.94,7794.06,8772.0,0.637,inside,0,중립,268,false,
2026-08-26,214320,이노션,45.45,neutral,-37.19,18.3,-55.49,,19669.07,18595.93,19132.5,0.2368,inside,0,중립,268,false,
2026-08-26,365550,ESR켄달스퀘어리츠,42.09,neutral,-87.26,-74.93,-12.33,,3446.12,2934.38,3190.25,0.2552,inside,0,중립,268,false,
2026-08-26,298050,HS효성첨단소재,53.03,neutral,1055.1,1442.03,-386.93,,191160.54,146239.46,168700.0,0.5601,inside,0,중립,268,false,
2026-08-26,036530,SNT홀딩스,42.8,neutral,-901.58,-729.38,-172.21,,50257.67,45437.33,47847.5,0.2619,inside,0,중립,268,false,
2026-08-26,000670,영풍,57.0,neutral,411.21,-40.53,451.75,,42440.53,32234.47,37337.5,0.7462,inside,0,중립,268,false,
2026-08-26,456040,OCI,50.16,neutral,-829.62,-2005.19,1175.57,,88161.74,64348.26,76255.0,0.6825,inside,0,중립,268,false,
2026-08-26,064960,SNT모티브,44.79,neutral,-78.79,37.98,-116.77,,28826.53,25098.47,26962.5,0.3223,inside,0,중립,268,false,
2026-08-26,093050,LF,64.36,neutral,242.17,97.39,144.78,,23717.08,21392.92,22555.0,1.0572,above_upper,-1,중립,268,false,
2026-08-26,005880,대한해운,54.91,neutral,48.52,35.5,13.02,,2222.53,1735.17,1978.85,0.6562,inside,0,중립,268,false,
2026-08-26,317450,명인제약,54.55,neutral,777.75,875.29,-97.54,,50367.89,40207.11,45287.5,0.6046,inside,0,중립,218,false,
2026-08-26,094800,맵스리얼티,72.57,overbought,304.81,252.88,51.93,,7511.31,5692.69,6602.0,0.8233,inside,-1,중립,268,false,
2026-08-26,005690,파미셀,45.93,neutral,-113.94,-115.91,1.97,,12840.72,9220.28,11030.5,0.4612,inside,0,중립,268,false,
2026-08-26,268280,미원에스씨,62.82,neutral,4936.08,4668.6,267.48,,137055.65,112784.35,124920.0,0.8123,inside,0,중립,268,false,
2026-08-26,002960,한국쉘석유,47.71,neutral,1188.83,2621.8,-1432.96,,520375.77,490424.23,505400.0,0.3531,inside,0,중립,268,false,
2026-08-26,069260,TKG휴켐스,57.53,neutral,161.19,121.84,39.36,,16972.05,14437.95,15705.0,0.7072,inside,0,중립,268,false,
2026-08-26,033240,자화전자,56.49,neutral,1065.75,559.53,506.22,,34202.68,19888.32,27045.5,0.7099,inside,0,중립,268,false,
2026-08-26,293940,신한알파리츠,62.62,neutral,27.86,9.82,18.04,,5420.58,5146.42,5283.5,1.2167,above_upper,-1,중립,268,false,
2026-08-26,003160,디아이,54.12,neutral,599.38,503.65,95.73,,29021.57,17635.43,23328.5,0.6292,inside,0,중립,268,false,
2026-08-26,001060,JW중외제약,55.83,neutral,731.83,626.22,105.6,,30304.82,21540.18,25922.5,0.6686,inside,0,중립,268,false,
2026-08-26,002350,넥센타이어,50.06,neutral,-41.45,-61.11,19.66,,6762.97,6131.03,6447.0,0.6788,inside,0,중립,268,false,
2026-08-26,017940,E1,68.74,neutral,2350.04,1483.29,866.75,,97251.1,80118.9,88685.0,1.0262,above_upper,-1,중립,268,false,
2026-08-26,001570,금양,50.0,neutral,0.0,0.0,0.0,,9900.0,9900.0,9900.0,0.5,inside,0,중립,268,false,
2026-08-26,001680,대상,53.99,neutral,31.45,28.08,3.37,golden,18647.74,17152.26,17900.0,0.6672,inside,1,중립,268,false,
2026-08-26,014820,동원시스템즈,57.68,neutral,323.46,330.47,-7.01,,22914.8,19635.2,21275.0,0.6753,inside,0,중립,268,false,
2026-08-26,383800,LX홀딩스,62.83,neutral,122.98,96.29,26.69,,8475.26,7407.74,7941.5,0.8452,inside,0,중립,268,false,
2026-08-26,453340,현대그린푸드,50.77,neutral,107.73,151.41,-43.68,,19444.71,17594.29,18519.5,0.4516,inside,0,중립,268,false,
2026-08-26,000640,동아쏘시오홀딩스,59.4,neutral,1985.29,2061.42,-76.13,,96803.5,83936.5,90370.0,0.751,inside,0,중립,268,false,
2026-08-26,248070,솔루엠,39.43,neutral,-511.65,-420.42,-91.24,,16025.12,11983.88,14004.5,0.3108,inside,0,중립,268,false,
2026-08-26,006380,카프로,50.0,neutral,0.0,0.0,0.0,,3660.0,3660.0,3660.0,0.5,inside,0,중립,268,false,
2026-08-26,001510,SK증권,56.21,neutral,88.42,22.73,65.69,,2935.35,1698.15,2316.75,0.7492,inside,0,중립,268,false,
2026-08-26,000400,롯데손해보험,52.63,neutral,-10.73,-17.94,7.21,,2109.77,1881.93,1995.85,0.8913,inside,0,중립,268,false,
2026-08-26,108320,LX세미콘,48.18,neutral,-350.01,-519.8,169.8,,42541.9,30868.1,36705.0,0.5724,inside,0,중립,268,false,
2026-08-26,002840,미원상사,62.77,neutral,2564.02,1434.43,1129.59,,136085.37,115564.63,125825.0,1.0543,above_upper,-1,중립,268,false,
2026-08-26,075580,세진중공업,45.43,neutral,-370.81,-398.49,27.68,,12184.35,9210.65,10697.5,0.4941,inside,0,중립,268,false,
2026-08-26,114090,GKL,45.73,neutral,-176.54,-217.19,40.65,,9586.99,9048.01,9317.5,0.5046,inside,0,중립,268,false,
2026-08-26,00088K,한화3우B,73.52,overbought,-30.65,-1039.05,1008.41,,34425.3,25864.7,30145.0,1.254,above_upper,-2,매도 우위,268,false,
2026-08-26,001270,부국증권,52.4,neutral,109.85,-9.65,119.5,,60173.76,48946.24,54560.0,0.6283,inside,0,중립,268,false,
2026-08-26,058650,세아홀딩스,68.58,neutral,3240.95,1943.64,1297.31,,135608.29,113211.71,124410.0,0.9952,inside,0,중립,268,false,
2026-08-26,003300,한일홀딩스,63.83,neutral,264.07,175.25,88.83,,18487.84,16662.16,17575.0,0.9245,inside,0,중립,268,false,
2026-08-26,025540,한국단자,36.53,neutral,-2511.97,-2107.47,-404.5,,67478.1,53011.9,60245.0,0.2342,inside,0,중립,268,false,
2026-08-26,002990,금호건설,62.76,neutral,1461.32,1111.4,349.92,,17630.58,6329.42,11980.0,0.8283,inside,0,중립,268,false,
2026-08-26,019170,신풍제약,57.14,neutral,286.24,152.16,134.07,,9971.17,6884.83,8428.0,0.7825,inside,0,중립,268,false,
2026-08-26,100840,SNT에너지,65.22,neutral,315.73,-109.01,424.74,,31815.08,22574.92,27195.0,1.0579,above_upper,-1,중립,268,false,
2026-08-26,007700,F&F홀딩스,48.8,neutral,-149.26,-188.98,39.72,,14898.77,13582.23,14240.5,0.5376,inside,0,중립,268,false,
2026-08-26,178920,PI첨단소재,47.7,neutral,-65.45,-50.44,-15.01,,21171.62,16598.38,18885.0,0.4923,inside,0,중립,268,false,
2026-08-26,005810,풍산홀딩스,57.64,neutral,800.23,694.66,105.57,,40579.14,33095.86,36837.5,0.7021,inside,0,중립,268,false,
2026-08-26,090460,비에이치,49.06,neutral,-402.22,-628.7,226.48,,19633.98,12644.02,16139.0,0.6275,inside,0,중립,268,false,
2026-08-26,016380,KG스틸,55.29,neutral,43.67,48.87,-5.2,,5993.94,5125.06,5559.5,0.6042,inside,0,중립,268,false,
